References,Value,Footprint,Quantity Per PCB,Datasheet
C4 C23 C32 C33 C34 C35,.01uF,C_0603_HandSoldering,6,
C1 C5 C6 C14 C19 C24 C25 C26 C27 C28 C29 C30 C31,0.1uF,C_0603_HandSoldering,13,
C7,10pF,C_0603_HandSoldering,1,
C8,220pF,C_0603_HandSoldering,1,
C2 C3 C9 C10 C11 C12 C13 C15 C16 C17 C18 C20 C21 C22,47uF,C_1210_HandSoldering,14,
D5,+3.3V_Zener,SOD-323_Diode,1,
D1 D2,5.6V,SOD-323_Diode,2,
D15 D17,Blue,LED_0603_HandSoldering,2,
D3,CMDSH2-3,SOD-323_Diode,1,
D6 D7 D8 D9 D14,Green,LED_0603_HandSoldering,5,
D10 D12 D13 D16,Red,LED_0603_HandSoldering,4,
D4 D11,SL42-E3/57T,DO-214AB_Zener,2,
J9,0733910320 [915MHz SMA],CONN_RP-SMA_Right_Angle_0733910320,1,
J1,BACKUP_BATT: 1586038-2,CONN_2POS_VERT_TE_CONN,1,
J14,Buzzer,CONN_2POS_VERT_TE_CONN_LOCK_5-103669-1,1,
J4,EMATCH_1: 1586038-2,CONN_2POS_VERT_TE_CONN,1,
J5,EMATCH_2: 1586038-2,CONN_2POS_VERT_TE_CONN,1,
J2,MAIN_BATT: 1586038-2,CONN_2POS_VERT_TE_CONN,1,
J3,Servo_Control,Molex_Microfit3_Header_01x03_Straight,1,
J7,Stratologger_DATA,4-Pin_Molex_Vertical,1,
J6,Stratologger_PWR: 1586038-2,CONN_2POS_VERT_TE_CONN,1,
J15,Strobe,CONN_2POS_VERT_TE_CONN_LOCK_5-103669-1,1,
J10,Switch_1,CONN_2POS_VERT_TE_CONN_LOCK_5-103669-1,1,
J12,Switch_2,CONN_2POS_VERT_TE_CONN_LOCK_5-103669-1,1,
J11,Switch_3,CONN_2POS_VERT_TE_CONN_LOCK_5-103669-1,1,
J13,Switch_4,CONN_2POS_VERT_TE_CONN_LOCK_5-103669-1,1,
J8,U.FL-R-SMT-1(10),HRS_U.FL-R-SMT-1(10),1,
L1,RLF7030T-2R2M5R4 [2.2uH],IND_RLF7030,1,
Q5 Q6 Q7 Q9 Q11 Q12 Q13 Q14 Q16 Q19 Q20 Q23 Q24 Q25 Q27 Q30 Q31,NTR4003,SOT-23,17,
Q21 Q22,SIS612EDNT-T1-GE3,PowerPAK_1212-8S,2,
Q1 Q2 Q3 Q4 Q8 Q10 Q15 Q17 Q18 Q26 Q28 Q29,SSM3J328R,SOT-23,12,
R80,0,R_0603_HandSoldering,1,
R5 R24 R31 R72 R73 R74 R75 R76 R81 R83,10,R_0603_HandSoldering,10,
R1 R2 R34,100k,R_0603_HandSoldering,3,
R4 R6 R8 R12 R13 R16 R18 R20 R21 R23 R44 R45 R46 R47 R50 R51 R54 R55 R65 R66 R67 R70 R71 R77 R79 R84 R85 R86 R87 R90 R91 R94 R95 R98 R99,10k,R_0603_HandSoldering,35,
R25 R28,10m,R_0805_HandSoldering,2,
R59 R64 R69,11.3k,R_0603_HandSoldering,3,
R27 R30 R33 R38,11.5k,R_0603_HandSoldering,4,
R17,118k,R_0603_HandSoldering,1,
R10 R11 R22 R48 R49 R78 R96 R97,12k,R_0603_HandSoldering,8,
R3,140k,R_0603_HandSoldering,1,
R43 R62,150,R_0603_HandSoldering,2,
R15,16k,R_0603_HandSoldering,1,
R26 R29 R32 R37 R56 R57,1M,R_0603_HandSoldering,6,
R88 R89 R92 R93,1k,R_0603_HandSoldering,4,
R7,200k,R_0603_HandSoldering,1,
R35 R36,25m,R_0805_HandSoldering,2,
R19,2k,R_0603_HandSoldering,1,
R58 R63 R68,45.3k,R_0603_HandSoldering,3,
R41,470,R_0603_HandSoldering,1,
R9 R14 R52 R53,510,R_0603_HandSoldering,4,
R39 R40 R42 R60 R61 R82,80,R_0603_HandSoldering,6,
SW1,EG2201A [DPDT],SW_DPDT_30V_200mA_EG2201A,1,
U12,ABPMANN030PG2A3,PRESSURE_TRANSDUCER_ABPMANN030PG2A3,1,
U15,BME280,BME280,1,
U16,CCS811,SON60P270X400X110-11N,1,
U6 U8,LDL1117S33R,SOT-223_Tab_Pin_2,2,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf
U5,LDL1117S50R,SOT-223_Tab_Pin_2,1,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf
U14,LIS331HH,LGA16_3x3mm_0.5mm_pitch,1,
U13,LSM9DS1,PQFN24P43_350X300X102L35X23N,1,
U1,LT6703-3,SOT-23-5_HandSoldering,1,http://cds.linear.com/docs/en/datasheet/6106fb.pdf
U7 U9,LTC2992,DFN-16-1EP_3x4mm_Pitch0.45mm,2,
U2,LTC3605,QFN25_4x4mm_0.5mm_pitch,1,
U10,LTC4358,HTSSOP-16-1EP_4.4x5mm_Pitch0.65mm,1,
U3 U4,LTC4358,TSSOP-16-1EP_4.4x5mm_Pitch0.65mm,2,
U18,RFM69HCW,RFM69HCW-XXXS2,1,
U11,Teensy3.6,Teensy33_SidePinsAndVBatt,1,
U17,ublox_max-m8q,MAX-M8,1,
