"V1","V6","V7","V8","V9","V10"
8,9902,"19:0:41",32.9428329468,-106.9150619507,1394.4000244141
8,9908,"19:0:41",32.9428329468,-106.9150619507,1394.4000244141
8,9912,"19:0:41",32.9428329468,-106.9150619507,1394.4000244141
8,9917,"19:0:41",32.9428329468,-106.9150619507,1394.4000244141
8,9922,"19:1:6",32.9428329468,-106.9150619507,1394.4000244141
8,9926,"19:1:11",32.9428329468,-106.9150619507,1394.4000244141
8,9932,"19:1:13",32.9428329468,-106.9150619507,1394.4000244141
8,9936,"19:1:20",32.9428329468,-106.9150619507,1394.4000244141
8,9941,"19:1:23",32.9428329468,-106.9150619507,1394.4000244141
8,9946,"19:1:23",32.9428329468,-106.9150619507,1394.4000244141
8,9958,"19:1:32",32.940776825,-106.9093170166,1394.4000244141
8,9963,"19:1:32",32.940776825,-106.9093170166,1394.4000244141
8,9967,"19:1:32",32.940776825,-106.9093170166,1394.4000244141
8,9976,"19:1:32",32.940776825,-106.9093170166,1394.4000244141
8,9980,"19:1:32",32.940776825,-106.9093170166,1394.4000244141
8,9985,"19:2:6",32.9419288635,-106.9067230225,1394.4000244141
8,9990,"19:2:6",32.9419288635,-106.9067230225,1394.4000244141
8,9994,"19:2:15",32.9421463013,-106.9058761597,1394.4000244141
8,9999,"19:2:15",32.9421463013,-106.9058761597,1394.4000244141
8,10004,"19:2:15",32.9421463013,-106.9058761597,1394.4000244141
8,10008,"19:2:15",32.9421463013,-106.9058761597,1394.4000244141
8,10014,"19:2:15",32.9421463013,-106.9058761597,1394.4000244141
8,10019,"19:2:15",32.9421463013,-106.9058761597,1394.4000244141
8,10023,"19:2:15",32.9421463013,-106.9058761597,1394.4000244141
8,10028,"19:2:52",32.9424362183,-106.9021377563,1394.4000244141
8,10033,"19:2:52",32.9424362183,-106.9021377563,1394.4000244141
8,10038,"19:2:52",32.9424362183,-106.9021377563,1394.4000244141
8,10043,"19:2:52",32.9424362183,-106.9021377563,1394.4000244141
8,10047,"19:2:52",32.9424362183,-106.9021377563,1394.4000244141
8,10052,"19:3:12",32.942817688,-106.9003677368,1394.4000244141
8,10057,"19:3:12",32.942817688,-106.9003677368,1394.4000244141
8,10061,"19:3:23",32.9431381226,-106.8994293213,1394.4000244141
8,10066,"19:3:26",32.94323349,-106.8991928101,1394.4000244141
8,10071,"19:3:35",32.9435310364,-106.8985443115,2928.8999023438
8,10076,"19:3:35",32.9435310364,-106.8985443115,2928.8999023438
8,10080,"19:3:35",32.9435310364,-106.8985443115,2928.8999023438
8,10085,"19:3:35",32.9435310364,-106.8985443115,2928.8999023438
8,10090,"19:3:35",32.9435310364,-106.8985443115,2928.8999023438
8,10095,"19:3:35",32.9435310364,-106.8985443115,2928.8999023438
8,10099,"19:3:35",32.9435310364,-106.8985443115,2928.8999023438
8,10104,"19:3:35",32.9435310364,-106.8985443115,2928.8999023438
8,10109,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10114,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10118,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10123,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10128,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10132,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10141,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10147,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10151,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10156,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10161,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10166,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10171,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10176,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10180,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10185,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10189,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10194,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10202,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
8,10207,"19:4:10",32.9451828003,-106.8976898193,2928.8999023438
